"CAMIS","GRADE","BORO","grade"
40857661,"A","Manhattan","A"
40858719,"A","Brooklyn","A"
40858816,"A","Queens","A"
40859127,"A","Staten Island","A"
40859175,"A","Staten Island","A"
40859724,"A","Brooklyn","A"
40859971,"A","Manhattan","A"
40860032,"A","Queens","A"
40860410,"A","Staten Island","A"
40860493,"A","Queens","A"
40860723,"A","Brooklyn","A"
40861141,"Z","Bronx","OTHER"
40861252,"A","Manhattan","A"
40861694,"A","Brooklyn","A"
40861946,"B","Manhattan","B"
40862111,"A","Manhattan","A"
40862491,"A","Queens","A"
40862619,"A","Staten Island","A"
40862803,"A","Brooklyn","A"
40863010,"A","Manhattan","A"
40863335,"A","Brooklyn","A"
40863575,"A","Bronx","A"
40864145,"A","Manhattan","A"
40864264,"A","Manhattan","A"
40864277,"B","Queens","B"
40864834,"A","Brooklyn","A"
40865775,"A","Queens","A"
40865946,"A","Manhattan","A"
40867037,"A","Manhattan","A"
40867120,"A","Queens","A"
40867167,"A","Queens","A"
40867812,"B","Brooklyn","B"
40868161,"A","Brooklyn","A"
40868248,"A","Queens","A"
40868400,"A","Manhattan","A"
40868583,"A","Brooklyn","A"
40868717,"A","Manhattan","A"
40868762,"N","Manhattan","OTHER"
40868904,"A","Bronx","A"
40869272,"A","Manhattan","A"
40869524,"C","Manhattan","C"
40869790,"N","Bronx","OTHER"
40871234,"A","Staten Island","A"
40871403,"A","Bronx","A"
40871752,"A","Queens","A"
40871961,"A","Brooklyn","A"
40872325,"P","Brooklyn","OTHER"
40872438,"C","Manhattan","C"
40872794,"A","Brooklyn","A"
40873138,"C","Manhattan","C"
40873175,"A","Manhattan","A"
40873635,"A","Brooklyn","A"
40873692,"A","Queens","A"
40873798,"A","Queens","A"
40874108,"A","Brooklyn","A"
40874132,"A","Brooklyn","A"
40874688,"A","Manhattan","A"
40875290,"A","Bronx","A"
40876078,"C","Manhattan","C"
40876297,"B","Staten Island","B"
40876361,"A","Brooklyn","A"
40876618,"A","Brooklyn","A"
40876932,"A","Queens","A"
40877247,"A","Queens","A"
40877741,"A","Manhattan","A"
40878231,"A","Brooklyn","A"
40878675,"A","Manhattan","A"
40879245,"B","Manhattan","B"
40879743,"A","Manhattan","A"
40880188,"N","Manhattan","OTHER"
40880194,"B","Queens","B"
40880619,"A","Manhattan","A"
40881083,"B","Queens","B"
40881627,"A","Manhattan","A"
40881793,"A","Queens","A"
40882825,"B","Brooklyn","B"
40883049,"A","Staten Island","A"
40883581,"A","Bronx","A"
40883740,"A","Brooklyn","A"
40884395,"A","Manhattan","A"
40884503,"A","Queens","A"
40884510,"A","Manhattan","A"
40884999,"A","Brooklyn","A"
40885010,"A","Queens","A"
40885315,"A","Manhattan","A"
40885333,"A","Queens","A"
40885478,"A","Bronx","A"
40885485,"A","Queens","A"
40885643,"A","Brooklyn","A"
40886422,"B","Bronx","B"
40886435,"Z","Queens","OTHER"
40886613,"A","Queens","A"
40886675,"A","Manhattan","A"
40887208,"Z","Brooklyn","OTHER"
40887371,"A","Brooklyn","A"
40887518,"A","Brooklyn","A"
40887622,"A","Brooklyn","A"
40887930,"A","Manhattan","A"
40887949,"A","Brooklyn","A"
40888633,"A","Manhattan","A"
40888787,"A","Manhattan","A"
40889676,"A","Queens","A"
40890184,"A","Manhattan","A"
40890186,"B","Bronx","B"
40890407,"A","Bronx","A"
40891377,"A","Bronx","A"
40891446,"A","Manhattan","A"
40891782,"A","Manhattan","A"
40892887,"Z","Bronx","OTHER"
40892893,"A","Brooklyn","A"
40892913,"A","Brooklyn","A"
40893866,"A","Manhattan","A"
40894333,"B","Manhattan","B"
40894838,"A","Manhattan","A"
40895766,"A","Manhattan","A"
40895911,"A","Brooklyn","A"
40897418,"A","Bronx","A"
40897493,"A","Queens","A"
40897778,"A","Manhattan","A"
40898366,"A","Manhattan","A"
40899178,"A","Bronx","A"
40899209,"A","Brooklyn","A"
40899767,"A","Manhattan","A"
40901214,"A","Staten Island","A"
40901527,"A","Manhattan","A"
40901832,"Z","Manhattan","OTHER"
40902084,"A","Queens","A"
40903960,"A","Queens","A"
40904467,"B","Brooklyn","B"
40904478,"A","Manhattan","A"
40906355,"A","Manhattan","A"
40906725,"A","Manhattan","A"
40906867,"A","Manhattan","A"
40906994,"B","Brooklyn","B"
40907580,"A","Queens","A"
40907587,"A","Queens","A"
40908961,"A","Manhattan","A"
40909191,"A","Manhattan","A"
40909205,"A","Manhattan","A"
40909425,"A","Queens","A"
40910784,"A","Manhattan","A"
40911114,"A","Manhattan","A"
40911185,"A","Staten Island","A"
40911251,"N","Manhattan","OTHER"
40911611,"B","Queens","B"
40912853,"A","Bronx","A"
40912964,"A","Staten Island","A"
40913297,"A","Manhattan","A"
40914459,"A","Manhattan","A"
40914702,"B","Manhattan","B"
40914814,"A","Queens","A"
40915251,"A","Manhattan","A"
40915451,"A","Staten Island","A"
40916179,"A","Queens","A"
40916595,"B","Queens","B"
40916630,"C","Bronx","C"
40916719,"A","Brooklyn","A"
40917497,"A","Brooklyn","A"
40917772,"A","Brooklyn","A"
40918241,"A","Brooklyn","A"
40918355,"A","Manhattan","A"
40918389,"A","Manhattan","A"
40918543,"A","Manhattan","A"
40918579,"A","Manhattan","A"
40918997,"A","Manhattan","A"
40919065,"A","Bronx","A"
40919894,"A","Brooklyn","A"
40920440,"A","Manhattan","A"
40921141,"A","Queens","A"
40922896,"A","Queens","A"
40922958,"A","Manhattan","A"
40923379,"A","Queens","A"
40925259,"A","Staten Island","A"
40925336,"A","Brooklyn","A"
40925558,"A","Manhattan","A"
40926214,"Z","Bronx","OTHER"
40926286,"A","Queens","A"
40926353,"A","Queens","A"
40926520,"A","Manhattan","A"
40927055,"A","Manhattan","A"
40927513,"A","Bronx","A"
40927789,"A","Queens","A"
40927832,"A","Brooklyn","A"
40928150,"A","Manhattan","A"
40928698,"A","Manhattan","A"
40928775,"A","Manhattan","A"
40928943,"A","Brooklyn","A"
40928949,"A","Queens","A"
40928956,"A","Manhattan","A"
40929097,"B","Manhattan","B"
40929114,"A","Brooklyn","A"
40929938,"Z","Queens","OTHER"
40930101,"A","Manhattan","A"
40930209,"A","Manhattan","A"
40930657,"A","Brooklyn","A"
40930674,"A","Manhattan","A"
40931239,"A","Manhattan","A"
40931258,"A","Manhattan","A"
40931302,"A","Bronx","A"
40931569,"A","Bronx","A"
40931583,"A","Brooklyn","A"
40931920,"A","Manhattan","A"
40931927,"A","Manhattan","A"
40931929,"A","Manhattan","A"
40932233,"Z","Manhattan","OTHER"
40932307,"A","Manhattan","A"
40932574,"A","Queens","A"
40932664,"A","Staten Island","A"
40932933,"A","Bronx","A"
40932950,"A","Manhattan","A"
40933080,"A","Queens","A"
40933229,"A","Brooklyn","A"
40933506,"B","Brooklyn","B"
40933594,"B","Queens","B"
40933601,"A","Manhattan","A"
40933602,"A","Manhattan","A"
40933757,"A","Manhattan","A"
40933911,"A","Manhattan","A"
40933963,"A","Manhattan","A"
40934037,"A","Queens","A"
40934594,"A","Bronx","A"
40935269,"A","Manhattan","A"
40935583,"A","Manhattan","A"
40936053,"A","Queens","A"
40936347,"A","Brooklyn","A"
40936363,"A","Queens","A"
40936610,"A","Manhattan","A"
40936721,"A","Queens","A"
40936803,"A","Queens","A"
40937799,"C","Bronx","C"
40937824,"Z","Manhattan","OTHER"
40938424,"A","Queens","A"
40938945,"A","Manhattan","A"
40939208,"Z","Brooklyn","OTHER"
40939317,"A","Brooklyn","A"
40939600,"A","Manhattan","A"
40939686,"A","Manhattan","A"
40939817,"A","Brooklyn","A"
40940279,"A","Manhattan","A"
40941045,"N","Bronx","OTHER"
40941224,"B","Queens","B"
40941849,"A","Brooklyn","A"
40942069,"A","Manhattan","A"
40942152,"A","Manhattan","A"
40942342,"A","Manhattan","A"
40942949,"A","Manhattan","A"
40943082,"A","Bronx","A"
40943174,"A","Manhattan","A"
40943306,"A","Brooklyn","A"
40943615,"A","Manhattan","A"
40943621,"A","Brooklyn","A"
40943754,"A","Manhattan","A"
40944072,"A","Brooklyn","A"
40944804,"A","Manhattan","A"
40944872,"A","Manhattan","A"
40944945,"A","Manhattan","A"
40945123,"A","Bronx","A"
40945190,"P","Queens","OTHER"
40945325,"A","Brooklyn","A"
40945691,"A","Bronx","A"
40945916,"A","Brooklyn","A"
40946043,"A","Queens","A"
40946298,"A","Manhattan","A"
40946369,"A","Manhattan","A"
40946403,"A","Staten Island","A"
40946406,"A","Manhattan","A"
40946431,"A","Brooklyn","A"
40946956,"A","Manhattan","A"
40947038,"A","Queens","A"
40947076,"A","Brooklyn","A"
40947395,"A","Queens","A"
40947919,"A","Manhattan","A"
40947971,"A","Bronx","A"
40948100,"A","Brooklyn","A"
40948362,"A","Manhattan","A"
40948382,"A","Brooklyn","A"
40948401,"A","Brooklyn","A"
40948509,"B","Brooklyn","B"
40949516,"A","Brooklyn","A"
40949604,"A","Manhattan","A"
40949905,"A","Manhattan","A"
40950193,"A","Brooklyn","A"
40950399,"C","Queens","C"
40950465,"A","Manhattan","A"
40951329,"A","Manhattan","A"
40951864,"A","Bronx","A"
40951896,"C","Manhattan","C"
40952129,"A","Brooklyn","A"
40952198,"A","Manhattan","A"
40952254,"A","Queens","A"
40954215,"A","Queens","A"
40954549,"A","Brooklyn","A"
40954991,"A","Manhattan","A"
40955456,"A","Manhattan","A"
40955649,"Z","Manhattan","OTHER"
40956726,"A","Queens","A"
40957726,"A","Manhattan","A"
40957903,"A","Queens","A"
40958104,"A","Queens","A"
40958170,"A","Manhattan","A"
40958354,"A","Brooklyn","A"
40958613,"A","Manhattan","A"
40959012,"A","Brooklyn","A"
40959046,"N","Manhattan","OTHER"
40959634,"Z","Brooklyn","OTHER"
40959649,"A","Manhattan","A"
40960698,"A","Queens","A"
40961549,"A","Brooklyn","A"
40961620,"A","Queens","A"
40961653,"Z","Manhattan","OTHER"
40962072,"A","Queens","A"
40962159,"A","Staten Island","A"
40962170,"A","Staten Island","A"
40962335,"B","Brooklyn","B"
40962966,"A","Queens","A"
40963082,"A","Brooklyn","A"
40963282,"A","Queens","A"
40964100,"A","Queens","A"
40964282,"A","Brooklyn","A"
40964289,"A","Brooklyn","A"
40965048,"B","Brooklyn","B"
40965997,"Z","Manhattan","OTHER"
40966076,"A","Manhattan","A"
40966222,"A","Brooklyn","A"
40966842,"A","Brooklyn","A"
40967297,"A","Manhattan","A"
40967336,"A","Queens","A"
40967394,"B","Queens","B"
40968567,"A","Queens","A"
40969350,"A","Queens","A"
40969600,"A","Bronx","A"
40970385,"A","Brooklyn","A"
40970904,"A","Manhattan","A"
40971149,"Z","Manhattan","OTHER"
40971873,"A","Queens","A"
40972083,"C","Queens","C"
40972759,"A","Brooklyn","A"
40973604,"A","Bronx","A"
40973710,"A","Manhattan","A"
40974031,"A","Manhattan","A"
40974392,"A","Staten Island","A"
40974766,"A","Manhattan","A"
40975524,"A","Manhattan","A"
40976304,"A","Manhattan","A"
40976804,"A","Manhattan","A"
40976973,"C","Queens","C"
40977209,"A","Manhattan","A"
40977390,"A","Bronx","A"
40977437,"A","Manhattan","A"
40977606,"A","Queens","A"
40977865,"A","Manhattan","A"
40978159,"A","Manhattan","A"
40978252,"A","Manhattan","A"
40978571,"A","Brooklyn","A"
40978593,"A","Brooklyn","A"
40978834,"A","Brooklyn","A"
40979119,"A","Staten Island","A"
40979259,"A","Queens","A"
40979519,"N","Bronx","OTHER"
40979852,"A","Queens","A"
40980061,"A","Bronx","A"
40980062,"B","Staten Island","B"
40980328,"A","Queens","A"
40980389,"A","Manhattan","A"
40980650,"A","Brooklyn","A"
40980922,"A","Queens","A"
40981913,"A","Queens","A"
40982663,"A","Brooklyn","A"
40982677,"A","Manhattan","A"
40983620,"A","Brooklyn","A"
40983698,"A","Manhattan","A"
40983954,"A","Queens","A"
40984211,"A","Brooklyn","A"
40984264,"A","Staten Island","A"
40985219,"A","Queens","A"
40985814,"A","Manhattan","A"
40985913,"A","Brooklyn","A"
40986189,"A","Bronx","A"
40986939,"A","Brooklyn","A"
40987028,"B","Queens","B"
40987257,"A","Manhattan","A"
40987470,"A","Manhattan","A"
40987564,"A","Queens","A"
40987572,"A","Queens","A"
40988156,"A","Manhattan","A"
40988528,"A","Brooklyn","A"
40988630,"B","Manhattan","B"
40988754,"A","Manhattan","A"
40988793,"A","Manhattan","A"
40988969,"A","Bronx","A"
40989220,"B","Manhattan","B"
40989507,"A","Bronx","A"
40989787,"A","Queens","A"
40990299,"A","Queens","A"
40991266,"A","Manhattan","A"
40991365,"A","Manhattan","A"
40991543,"A","Manhattan","A"
40991804,"A","Bronx","A"
40991835,"A","Manhattan","A"
40992090,"A","Staten Island","A"
40992170,"A","Brooklyn","A"
40992205,"A","Brooklyn","A"
40992678,"A","Queens","A"
40993101,"A","Manhattan","A"
40993361,"A","Brooklyn","A"
40993542,"A","Manhattan","A"
40993786,"A","Staten Island","A"
40994221,"A","Manhattan","A"
40994615,"A","Manhattan","A"
40994918,"B","Manhattan","B"
40995117,"A","Bronx","A"
40995563,"Z","Queens","OTHER"
40996005,"Z","Brooklyn","OTHER"
40996223,"A","Manhattan","A"
40996365,"A","Manhattan","A"
40996465,"A","Queens","A"
40996589,"A","Manhattan","A"
40996642,"C","Staten Island","C"
40996665,"A","Queens","A"
40997900,"A","Queens","A"
40997950,"A","Manhattan","A"
40998001,"A","Brooklyn","A"
40998515,"A","Manhattan","A"
40998581,"A","Manhattan","A"
40998586,"A","Manhattan","A"
40998924,"A","Manhattan","A"
40998983,"A","Manhattan","A"
40999052,"A","Brooklyn","A"
40999185,"A","Manhattan","A"
40999249,"A","Staten Island","A"
40999268,"A","Queens","A"
40999287,"A","Brooklyn","A"
40999297,"A","Brooklyn","A"
40999540,"A","Queens","A"
40999668,"A","Manhattan","A"
40999727,"A","Manhattan","A"
41000172,"A","Manhattan","A"
41000697,"A","Manhattan","A"
41001087,"A","Manhattan","A"
41001192,"A","Manhattan","A"
41001363,"A","Queens","A"
41001677,"A","Manhattan","A"
41002004,"A","Queens","A"
41002789,"A","Brooklyn","A"
41003717,"A","Staten Island","A"
41004067,"B","Brooklyn","B"
41004133,"A","Manhattan","A"
41004145,"A","Bronx","A"
41004222,"A","Queens","A"
41004293,"A","Manhattan","A"
41004486,"C","Manhattan","C"
41004674,"A","Manhattan","A"
41004767,"A","Queens","A"
41004797,"A","Manhattan","A"
41004963,"A","Manhattan","A"
41005009,"A","Staten Island","A"
41005098,"A","Manhattan","A"
41005529,"A","Manhattan","A"
41005946,"A","Staten Island","A"
41006035,"A","Manhattan","A"
41006183,"A","Brooklyn","A"
41006323,"A","Queens","A"
41006352,"Z","Manhattan","OTHER"
41006719,"A","Manhattan","A"
41006744,"A","Manhattan","A"
41006765,"A","Manhattan","A"
41007188,"A","Queens","A"
41007823,"A","Manhattan","A"
41007946,"A","Manhattan","A"
41008329,"A","Bronx","A"
41008413,"A","Manhattan","A"
41008526,"B","Manhattan","B"
41008641,"A","Manhattan","A"
41008857,"A","Queens","A"
41008928,"A","Staten Island","A"
41009267,"A","Manhattan","A"
41009364,"A","Brooklyn","A"
41009687,"A","Manhattan","A"
41009780,"A","Queens","A"
41010148,"A","Queens","A"
41010271,"A","Manhattan","A"
41010358,"A","Queens","A"
41010361,"A","Brooklyn","A"
41010433,"A","Manhattan","A"
41011076,"N","Manhattan","OTHER"
41011232,"A","Manhattan","A"
41011282,"A","Queens","A"
41011367,"A","Bronx","A"
41011463,"A","Queens","A"
41011581,"A","Manhattan","A"
41011815,"A","Brooklyn","A"
41012120,"A","Brooklyn","A"
41012277,"A","Brooklyn","A"
41012338,"A","Manhattan","A"
41012907,"A","Manhattan","A"
41012973,"A","Manhattan","A"
41013386,"A","Queens","A"
41013755,"A","Manhattan","A"
41013850,"A","Brooklyn","A"
41013992,"A","Bronx","A"
41014056,"Z","Queens","OTHER"
41014480,"A","Bronx","A"
41014554,"A","Manhattan","A"
41014566,"A","Queens","A"
41014575,"A","Brooklyn","A"
41014581,"A","Brooklyn","A"
41014673,"A","Queens","A"
41014875,"C","Queens","C"
41015002,"A","Brooklyn","A"
41015170,"A","Brooklyn","A"
41015818,"A","Brooklyn","A"
41015947,"B","Bronx","B"
41016441,"A","Queens","A"
41016585,"A","Manhattan","A"
41016607,"A","Brooklyn","A"
41016740,"A","Queens","A"
41017379,"A","Brooklyn","A"
41017390,"A","Manhattan","A"
41017547,"A","Manhattan","A"
41017592,"A","Queens","A"
41017770,"B","Brooklyn","B"
41017876,"N","Brooklyn","OTHER"
41017916,"A","Queens","A"
41017954,"A","Manhattan","A"
41018004,"A","Brooklyn","A"
41018146,"A","Queens","A"
41018252,"A","Staten Island","A"
41019069,"A","Brooklyn","A"
41019083,"N","Brooklyn","OTHER"
41019412,"Z","Brooklyn","OTHER"
41019523,"A","Queens","A"
41020005,"A","Queens","A"
41020284,"A","Manhattan","A"
41020286,"A","Manhattan","A"
41020367,"A","Staten Island","A"
41020466,"B","Manhattan","B"
41020593,"A","Brooklyn","A"
41020745,"A","Manhattan","A"
41021233,"A","Queens","A"
41021287,"A","Queens","A"
41021523,"A","Manhattan","A"
41021528,"A","Staten Island","A"
41021766,"B","Bronx","B"
41021933,"A","Manhattan","A"
41021991,"A","Manhattan","A"
41022144,"A","Manhattan","A"
41022153,"A","Manhattan","A"
41022489,"B","Queens","B"
41022513,"A","Brooklyn","A"
41022637,"B","Brooklyn","B"
41022989,"A","Manhattan","A"
41022993,"A","Manhattan","A"
41023553,"A","Manhattan","A"
41023651,"A","Queens","A"
41023695,"A","Queens","A"
41023740,"A","Manhattan","A"
41024211,"A","Brooklyn","A"
41024987,"A","Manhattan","A"
41025084,"A","Manhattan","A"
41025252,"B","Queens","B"
41025692,"N","Manhattan","OTHER"
41026182,"A","Manhattan","A"
41026438,"A","Queens","A"
41026458,"N","Manhattan","OTHER"
41026496,"A","Manhattan","A"
41026617,"A","Bronx","A"
41026640,"A","Brooklyn","A"
41026692,"A","Manhattan","A"
41028194,"A","Brooklyn","A"
41028321,"Z","Bronx","OTHER"
41028662,"A","Manhattan","A"
41028791,"A","Manhattan","A"
41029337,"A","Staten Island","A"
41029356,"A","Manhattan","A"
41029870,"A","Queens","A"
41029952,"A","Brooklyn","A"
41030615,"A","Manhattan","A"
41030732,"A","Queens","A"
41030972,"A","Brooklyn","A"
41031137,"A","Manhattan","A"
41031150,"A","Brooklyn","A"
41031707,"A","Manhattan","A"
41031832,"A","Manhattan","A"
41031977,"A","Queens","A"
41032365,"A","Manhattan","A"
41032440,"A","Manhattan","A"
41032752,"A","Manhattan","A"
41033313,"A","Manhattan","A"
41033693,"A","Manhattan","A"
41034123,"A","Queens","A"
41034539,"A","Manhattan","A"
41034980,"A","Manhattan","A"
41035072,"B","Brooklyn","B"
41035324,"A","Manhattan","A"
41035387,"A","Manhattan","A"
41035487,"B","Queens","B"
41036247,"A","Staten Island","A"
41036291,"A","Bronx","A"
41037118,"A","Manhattan","A"
41037299,"A","Queens","A"
41037770,"A","Brooklyn","A"
41037812,"A","Bronx","A"
41037850,"Z","Queens","OTHER"
41038028,"A","Manhattan","A"
41038085,"A","Manhattan","A"
41038249,"A","Queens","A"
41038600,"A","Brooklyn","A"
41038997,"A","Queens","A"
41039631,"A","Queens","A"
41039634,"A","Queens","A"
41039810,"A","Brooklyn","A"
41039814,"A","Manhattan","A"
41040222,"C","Queens","C"
41040365,"A","Manhattan","A"
41040376,"A","Bronx","A"
41040475,"N","Manhattan","OTHER"
41040849,"A","Manhattan","A"
41041594,"N","Bronx","OTHER"
41041733,"A","Brooklyn","A"
41042010,"A","Manhattan","A"
41042104,"A","Queens","A"
41042416,"A","Manhattan","A"
41042427,"A","Manhattan","A"
41042466,"A","Queens","A"
41042983,"A","Brooklyn","A"
41043103,"A","Manhattan","A"
41043971,"A","Bronx","A"
41044065,"A","Queens","A"
41044394,"A","Brooklyn","A"
41044538,"A","Staten Island","A"
41044592,"A","Manhattan","A"
41045928,"A","Queens","A"
41046187,"A","Manhattan","A"
41046225,"A","Queens","A"
41046279,"A","Brooklyn","A"
41046455,"A","Manhattan","A"
41046488,"A","Manhattan","A"
41046514,"A","Staten Island","A"
41046685,"C","Manhattan","C"
41046726,"A","Manhattan","A"
41046913,"A","Brooklyn","A"
41047105,"A","Manhattan","A"
41047349,"A","Manhattan","A"
41047941,"A","Brooklyn","A"
41047999,"A","Manhattan","A"
41048074,"A","Brooklyn","A"
41048427,"A","Manhattan","A"
41048429,"A","Brooklyn","A"
41049051,"A","Staten Island","A"
41049219,"B","Bronx","B"
41049312,"B","Manhattan","B"
41049808,"A","Staten Island","A"
41050020,"A","Brooklyn","A"
41050171,"A","Manhattan","A"
41050624,"A","Staten Island","A"
41050702,"B","Bronx","B"
41050795,"A","Queens","A"
41050875,"P","Manhattan","OTHER"
41050934,"A","Queens","A"
41051273,"A","Manhattan","A"
41051587,"B","Manhattan","B"
41052309,"A","Brooklyn","A"
41053093,"A","Manhattan","A"
41053236,"A","Manhattan","A"
41053329,"A","Queens","A"
41053864,"A","Staten Island","A"
41054554,"A","Manhattan","A"
41054662,"A","Manhattan","A"
41054675,"A","Staten Island","A"
41054695,"A","Manhattan","A"
41055920,"A","Queens","A"
41055922,"A","Queens","A"
41056088,"A","Manhattan","A"
41056159,"A","Manhattan","A"
41056164,"A","Manhattan","A"
41056253,"A","Queens","A"
41056355,"B","Manhattan","B"
41056448,"A","Manhattan","A"
41057755,"A","Queens","A"
41058206,"A","Brooklyn","A"
41058228,"A","Manhattan","A"
41058883,"A","Manhattan","A"
41059145,"A","Queens","A"
41059712,"A","Queens","A"
41060193,"B","Manhattan","B"
41060816,"C","Manhattan","C"
41060947,"A","Bronx","A"
41061016,"A","Queens","A"
41061082,"A","Manhattan","A"
41061355,"A","Manhattan","A"
41061861,"A","Manhattan","A"
41062070,"A","Manhattan","A"
41062076,"A","Brooklyn","A"
41062347,"A","Brooklyn","A"
41062874,"A","Brooklyn","A"
41063300,"A","Queens","A"
41063464,"A","Brooklyn","A"
41063946,"A","Manhattan","A"
41063983,"A","Manhattan","A"
41064439,"A","Manhattan","A"
41064708,"A","Brooklyn","A"
41064834,"A","Bronx","A"
41064849,"A","Manhattan","A"
41064863,"A","Bronx","A"
41065348,"A","Manhattan","A"
41065354,"A","Manhattan","A"
41065858,"A","Manhattan","A"
41066599,"A","Brooklyn","A"
41066767,"A","Manhattan","A"
41066771,"A","Brooklyn","A"
41066841,"A","Manhattan","A"
41067225,"A","Queens","A"
41067289,"A","Manhattan","A"
41067497,"A","Queens","A"
41067502,"A","Queens","A"
41067651,"A","Manhattan","A"
41067696,"A","Manhattan","A"
41067996,"B","Bronx","B"
41068088,"A","Brooklyn","A"
41068312,"N","Queens","OTHER"
41068451,"A","Queens","A"
41068567,"A","Manhattan","A"
41068576,"Z","Bronx","OTHER"
41068607,"A","Manhattan","A"
41068920,"B","Manhattan","B"
41069367,"A","Brooklyn","A"
41069646,"B","Bronx","B"
41069770,"B","Staten Island","B"
41070120,"A","Bronx","A"
41070633,"A","Queens","A"
41070857,"A","Brooklyn","A"
41071232,"A","Brooklyn","A"
41071308,"A","Manhattan","A"
41071907,"B","Manhattan","B"
41071980,"A","Manhattan","A"
41072640,"B","Queens","B"
41072750,"Z","Manhattan","OTHER"
41072888,"B","Manhattan","B"
41072936,"A","Manhattan","A"
41073304,"A","Queens","A"
41073493,"A","Staten Island","A"
41073604,"A","Manhattan","A"
41073631,"A","Queens","A"
41073979,"A","Manhattan","A"
41074013,"A","Manhattan","A"
41074128,"A","Queens","A"
41074207,"A","Manhattan","A"
41074315,"A","Manhattan","A"
41074503,"A","Queens","A"
41075211,"A","Brooklyn","A"
41075909,"A","Queens","A"
41075977,"A","Manhattan","A"
41076171,"A","Queens","A"
41076181,"A","Queens","A"
41076314,"Z","Manhattan","OTHER"
41076408,"A","Manhattan","A"
41076471,"Z","Staten Island","OTHER"
41076499,"B","Queens","B"
41076903,"A","Bronx","A"
41076966,"A","Bronx","A"
41076970,"A","Brooklyn","A"
41077301,"A","Manhattan","A"
41077320,"A","Brooklyn","A"
41077507,"B","Bronx","B"
41077631,"Z","Manhattan","OTHER"
41078099,"A","Manhattan","A"
41078266,"A","Queens","A"
41078357,"N","Manhattan","OTHER"
41079206,"A","Brooklyn","A"
41079283,"C","Queens","C"
41079528,"C","Manhattan","C"
41080084,"A","Brooklyn","A"
41080215,"A","Bronx","A"
41080427,"A","Bronx","A"
41080814,"A","Brooklyn","A"
41081510,"A","Manhattan","A"
41081535,"A","Brooklyn","A"
41081705,"A","Queens","A"
41081933,"A","Bronx","A"
41083266,"A","Queens","A"
41083735,"A","Bronx","A"
41083785,"A","Brooklyn","A"
41083839,"A","Manhattan","A"
41083927,"Z","Manhattan","OTHER"
41084188,"A","Manhattan","A"
41084481,"A","Manhattan","A"
41084776,"A","Manhattan","A"
41085065,"A","Brooklyn","A"
41085105,"A","Manhattan","A"
41085439,"A","Brooklyn","A"
41086102,"A","Brooklyn","A"
41086217,"A","Staten Island","A"
41086368,"Z","Queens","OTHER"
41086575,"A","Bronx","A"
41086655,"A","Brooklyn","A"
41086673,"N","Brooklyn","OTHER"
41086770,"A","Manhattan","A"
41086843,"A","Queens","A"
41086895,"A","Manhattan","A"
41086967,"A","Manhattan","A"
41087130,"A","Manhattan","A"
41087519,"A","Manhattan","A"
41087789,"A","Manhattan","A"
41088457,"A","Manhattan","A"
41088798,"A","Brooklyn","A"
41088825,"A","Queens","A"
41089762,"A","Brooklyn","A"
41089821,"A","Staten Island","A"
41089834,"A","Manhattan","A"
41089876,"A","Manhattan","A"
41090020,"A","Brooklyn","A"
41090082,"A","Brooklyn","A"
41090127,"B","Bronx","B"
41090212,"A","Manhattan","A"
41090838,"A","Queens","A"
41090957,"A","Manhattan","A"
41091113,"B","Bronx","B"
41091215,"A","Manhattan","A"
41091568,"A","Bronx","A"
41091944,"A","Manhattan","A"
41092078,"A","Manhattan","A"
41092334,"A","Manhattan","A"
41092403,"A","Manhattan","A"
41092609,"A","Manhattan","A"
41092640,"A","Brooklyn","A"
41092840,"A","Brooklyn","A"
41092947,"A","Staten Island","A"
41094023,"A","Queens","A"
41094080,"A","Brooklyn","A"
41094277,"A","Bronx","A"
41095221,"A","Queens","A"
41095546,"B","Manhattan","B"
41096100,"A","Manhattan","A"
41096117,"A","Manhattan","A"
41096340,"A","Brooklyn","A"
41096461,"N","Manhattan","OTHER"
41096631,"A","Bronx","A"
41096822,"A","Manhattan","A"
41096895,"A","Manhattan","A"
41097313,"B","Queens","B"
41097973,"A","Brooklyn","A"
41098073,"A","Manhattan","A"
41098607,"A","Manhattan","A"
41098650,"A","Queens","A"
41098752,"A","Brooklyn","A"
41098952,"A","Manhattan","A"
41098956,"A","Manhattan","A"
41098989,"A","Bronx","A"
41098999,"A","Bronx","A"
41099225,"A","Staten Island","A"
41099430,"A","Queens","A"
41099497,"A","Queens","A"
41099763,"A","Bronx","A"
41100003,"A","Manhattan","A"
41100265,"A","Queens","A"
41100350,"N","Manhattan","OTHER"
41100434,"B","Queens","B"
41100502,"A","Queens","A"
41100740,"A","Manhattan","A"
41100958,"A","Manhattan","A"
41101595,"A","Manhattan","A"
41101600,"A","Brooklyn","A"
41101900,"A","Manhattan","A"
41102075,"A","Brooklyn","A"
41102997,"B","Manhattan","B"
41103052,"A","Queens","A"
41103208,"A","Manhattan","A"
41103419,"A","Manhattan","A"
41104041,"A","Queens","A"
41104417,"A","Manhattan","A"
41104596,"A","Bronx","A"
41104783,"Z","Manhattan","OTHER"
41104863,"A","Manhattan","A"
41105041,"Z","Brooklyn","OTHER"
41105180,"A","Manhattan","A"
41105288,"A","Brooklyn","A"
41105300,"A","Brooklyn","A"
41105399,"Z","Bronx","OTHER"
